Text;Randomized Trial? (Predicted);Multicentric (Predicted);Sample Size (planned) reported? (Predicted);Sample Size (planned) (Predicted);Follow-up duration (median, months) reported? (Predicted);Follow-up duration (median, months) (Predicted);Tumor Type - NSCLC? (Predicted);Tumor Type - Prostate Cancer? (Predicted);Tumor Type - HNSCC? (Predicted);Tumor Type - Glioblastoma? (Predicted);Tumor Stage at Inclusion - Localized? (Predicted);Tumor Stage at Incluion - Locally Advanced? (Predicted);Tumor Stage at Inclusion - Oligometastatic? (Predicted);Tumor Stage at Inclusion - Metastatic? (Predicted);Tumor Stage at Inclusion - Recurrent? (Predicted);Cancer Histology-specific? (Predicted);Number of Patients reported? (Predicted);Number of Patients (Predicted);Inclusion of Older Adults (>70) (Predicted);Biomarker-selected population? (Predicted);Radiotherapy Type - EBRT (Predicted);Radiotherapy Type - SBRT (Predicted);Radiotherapy Type - IMRT (Predicted);Radiotherapy Type - Protontherapy (Predicted);Radiotherapy Type - Brachytherapy (Predicted);Radiotherapy Type - MR-guided Radiotherapy (Predicted);Hypofractionation used? (Predicted);Radiation Dose Escalation? (Predicted);Dose per Fraction (Gy) reported? (Predicted);Dose per Fraction (Gy) (Predicted);Total Dose (Gy) reported? (Predicted);Total Dose (Gy) (Predicted);Image Guidance Used - MRI? (Predicted);Image Guidance Used - PET? (Predicted);Concurrent Systemic Therapy? (Predicted);Systemic Therapy used - Chemotherapy? (Predicted);Systemic Therapy used - Immunotherapy? (Predicted);Systemic Therapy used - Targeted Therapy? (Predicted);Systemic Therapy used - Hormonal Therapy? (Predicted);Primary Endpoint Type? (Predicted);Hazard Ratio reported? (Predicted);Hazard Ratio (Predicted);Biomarker Endpoint Included (Predicted);Use of Advanced Imaging? (Predicted);Use of Omics? (Predicted);New Technology Introduced? (Predicted);New Technology Validated? (Predicted)
"Phase I/II Study of the Safety, Tolerability, and Efficacy of Stereotactic Body Radiation Therapy (SBRT) Combined With Concurrent and Adjuvant Avelumab for Definitive Management of Early Stage Non-Small Cell Lung Cancer (NSCLC)The purpose of the study is to determine whether avelumab has an effect on cancer and body in combination with SBRT, a standard treatment for early stage non-small cell lung cancer (NSCLC).

Avelumab is considered experimental because it is not approved by the United States (U.S.) Food and Drug Administration (FDA) for the treatment of cancer. It is a type of drug called a monoclonal antibody (a type of protein). Monoclonal antibodies are made to recognize, target and bind to specific proteins on the cells that make up your tissues. Avelumab is designed to block the interaction between PD-1, a known immune checkpoint, and PD-L1. By blocking this interaction, the immune system may be stimulated, allowing it to more effectively recognize and attack the cancer.

Stereotactic Body Radiation Therapy (SBRT) is a type of radiation that uses precise targeting to deliver a high dose of radiation to the tumor over a short period of time. A positioning cushion such as Vac-lok will be used during radiation treatment that is custom made. This custom mold forms to the contours of the subjects body to allow for proper positioning comfort and stability.This is a single arm open label Phase I/II study that will consist of two parts. In Phase I, investigators will assess the safety and tolerability of SBRT combined with Avelumab. In Phase II, investigators will determine whether SBRT combined with Avelumab improves relapse free survival. Subjects with Stage I NSCLC who are not undergoing surgical resection will be candidates for enrollment. Subjects will receive definitive stereotactic body radiation (SBRT) in 4-5 fractions combined with concurrent and adjuvant Avelumab at 10mg/kg for a total of 6 cycles. Subjects will be evaluated for safety as measured by the occurrence of adverse events, serious adverse events, and laboratory abnormalities. Three blood draws will be obtained to analyze anti-tumor immune responses and immune correlates.";FALSE;FALSE;FALSE;;FALSE;;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;Other;FALSE;;TRUE;FALSE;FALSE;FALSE;FALSE
"Phase III Trial of Stereotactic Radiosurgery (SRS) or Hippocampal-Avoidant Whole Brain Radiotherapy (HA-WBRT) for Distant Brain Relapse With Brain Metastasis Velocity &gt;/= 4 Brain Metastases/YearThis phase III trial compares the effect of adding whole brain radiotherapy with hippocampal avoidance and memantine versus stereotactic radiosurgery alone in treating patients with cancer that has spread to the brain and come back in other areas of the brain after earlier stereotactic radiosurgery. Hippocampus avoidance during whole-brain radiation therapy decreases the amount of radiation that is delivered to the hippocampus, which is a brain structure that is important for memory. The medicine memantine is also often given with whole brain radiation therapy because it may decrease the risk of side effects of radiation on neurocognitive function (including thinking and memory). Stereotactic radiosurgery delivers a high dose of radiation only to the small areas of cancer in the brain and avoids the surrounding normal brain tissue. Adding whole brain radiotherapy with hippocampal avoidance and memantine may be effective in reducing the size of the cancer or keeping the cancer the same size when it has spread to the brain and/or come back in other areas of the brain compared to stereotactic radiosurgery.PRIMARY OBJECTIVE:

I. To determine if hippocampal-avoidant plus whole brain radiotherapy (HA-WBRT) in patients with distant brain failure with brain metastasis velocity \>= 4 new brain metastases/year prolongs time to neurologic death as compared to stereotactic radiosurgery (SRS).

SECONDARY OBJECTIVES:

I. To determine if HA-WBRT in patients with distant brain failure with brain metastasis velocity \>= 4 new brain metastases/year prolongs overall survival as compared to SRS.

II. To evaluate if HA-WBRT in patients with distant brain failure with brain metastasis velocity \>= 4 new brain metastases/year prolongs intracranial progression-free survival as compared to SRS.

III. To evaluate if HA-WBRT in patients with distant brain failure with brain metastasis velocity \>= 4 new brain metastases/year improves brain metastasis velocity at subsequent relapse as compared to SRS.

IV. To assess perceived difficulties in cognitive abilities, symptom burden and health status after HA-WBRT, as compared to SRS, in patients with distant brain failure with brain metastasis velocity \>= 4 new brain metastases/year.

V. To compare neurocognitive function outcomes following HA-WBRT, as compared to SRS, in patients with distant brain failure with brain metastasis velocity \>= 4 new brain metastases/year.

VI. To tabulate and descriptively compare the adverse events associated with the interventions.

VII. To tabulate and descriptively compare the number of salvage procedures used to manage recurrent intracranial disease following the interventions.

EXPLORATORY OBJECTIVES:

I. To collect serum, plasma, and whole blood for translational research analyses.

II. To collect baseline and all follow-up magnetic resonance (MR) imaging for hippocampal volume, memory center substructures, axial T2 volumes, and quantitative texture analysis.

III. To collect baseline and follow-up MR imaging to extract whole brain volume, white matter volume and volume of metastatic disease to correlate with cognitive change at 4 months.

IV. To evaluate dose-volume histogram parameters to correlate with radiation toxicity.

V. To assess in patients receiving immunotherapy or targeted therapy, if HA-WBRT in patients with distant brain failure with brain metastasis velocity \>= 4 new brain metastases/year at time improves brain metastasis velocity and/or overall survival at subsequent relapse as compared to SRS.

VI. To compare the estimated cost of brain-related therapies and quality-adjusted life years in patients who receive HA-WBRT, as compared to SRS, in patients with distant brain failure with metastasis velocity \>= 4 new brain metastases/year.

OUTLINE: Patients are randomized to 1 of 2 arms.

ARM I: Patients undergo HA-WBRT daily (5 times weekly) for 2 weeks for a total of 10 fractions in the absence of disease progression or unacceptable toxicity. Prior to HA-WBRT or no later than the 4th treatment, patients also receive memantine orally (PO) once daily (QD) or twice daily (BID) for 24 weeks in the absence of disease progression or unacceptable toxicity. Patients also undergo computed tomography (CT) and magnetic resonance imaging (MRI) and may undergo blood sample collection throughout the trial.

ARM II: Patients undergo single fraction SRS or fractionated SRS (fSRS) on study. Patients also undergo CT and MRI and may undergo blood sample collection throughout the trial.

Patients are followed up at 2, 4, 6, 9, and 12 months from the start of SRS/fSFS or HA-WBRT and then every 6 months after month 12 and within 21 days after patient death.";TRUE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Other;FALSE;;TRUE;TRUE;FALSE;FALSE;FALSE
Phase II Multicentric Study: Efficacy Evaluation of Neoadjuvant Treatment Associated With Maintenance Therapy by Anti-PD1 Immunotherapy on Disease-free-survival (DFS) in Patients With Resectable Head and Neck Mucosal MelanomaThe main objective will be to estimate the disease free survival (DFS) of patients with resectable head and neck mucosal melanomas treated by neo-adjuvant anti-PD1 (in combination or not with lenvatinib) followed by surgery, radiotherapy and maintenance immunotherapy in order to compare it to historical DFS results of this kind of patients treated by surgery and radiotherapy. Our primary end-point will be disease-free survival at 2 years;FALSE;TRUE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;DFS;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"Phase I/II Study to Investigate the Role of Cyberknife Stereotactic Radiation Therapy (SBRT) Followed by Gemcitabine for Patients With Locally Advanced Pancreatic CancerThe purpose of this study is to evaluate the efficacy and safety of stereotactic radiation therapy given in five fractions (30 Gray in 5 fractions) followed by gemcitabine in patients with locally advanced pancreatic cancer.The purpose of this phase I/II study is to evaluate the efficacy and toxicity of a different stereotactic body radiation therapy regimen combined with gemcitabine. In the present study, 5 daily fractions of 6 Gray will be given over two weeks. Stereotactic body radiation therapy will be given with the Cyberknife system. This treatment technique allows to give a higher dose to the tumor as compared to conventional external beam radiation while lowering the dose to the normal tissues around. This treatment system is also capable of following the motion that the pancreas assumes during respiration as well as during treatment. This enables us to reduce the margin of security and further reduce dose to surrounding normal tissue.

The primary objective of this study is to evaluate acute and chronic toxicity of this regimen of stereotactic radiation therapy followed by gemcitabine. Quality of life, local control and overall survival will also be evaluated.";FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;6;TRUE;30;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Tox;FALSE;;FALSE;TRUE;FALSE;FALSE;FALSE
"Prospective Randomized Clinical Trial for no Inferiority With Preoperative Chemoradiotherapy and Transanal Endoscopic Microsurgery (TEM) Versus Total Mesorectal Excision in T2-T3s N0, M0 Rectal CancerThe standard treatment of rectal adenocarcinoma is total mesorectal excision (TME). The technique involves a low anterior rectal or colo-anal resection, very often associated with a protective stoma or abdominal-perineal resection with permanent colostomy. Transanal endoscopic microsurgery (TEM) allows access to tumors up to 20 cm from the anal margin, with minimal postoperative morbidity and mortality. Recent studies of T1 rectal adenocarcinomas consider TEM to be the technique of choice. However the treatment of T2 rectal cancers remains controversial. Chemotherapy and radiotherapy (CT/RT) has achieved a concomitant reduction in local recurrence and an increase in survival.

Hypothesis: Patients with rectal adenocarcinoma less than 10 cm from the anal margin and up to 4 cm in size, staged after endorectal ultrasound and MRI as T2 or superficial T3 N0-M0-N0-M0, who underwent surgery after preoperative local chemoradiotherapy (TEM), achieve effective results in terms of local recurrence similar to radical surgery (TME).

OBJECTIVES:

Primary: To compare the results of local recurrence at 2 years in patients treated with preoperative chemoradiotherapy and TEM and in patients treated with conventional radical surgery (TME).

Secondary: To analyse the 3-year survival results in patients treated with CT/RT.

Methodology: Multicenter clinical trial in a calculated sample of 173 patients.";TRUE;TRUE;TRUE;173;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;173;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;LC;FALSE;;FALSE;TRUE;FALSE;FALSE;FALSE
"HNSALV Trial: Combining Immunotherapy With Salvage Surgery and IORT for Treatment of Persistent/Recurrent Head and Neck CancersThis phase I trial is to find out the possible side effects of pembrolizumab and radiation therapy before and during surgery in treating patients with head and neck squamous cell cancer that remains despite treatment (persistent) or has come back (recurrent). Immunotherapy with monoclonal antibodies, such as pembrolizumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Radiation therapy uses high energy x-rays or protons to kill tumor cells and shrink tumors. Giving pembrolizumab and radiation therapy before and during surgery may kill more tumor cells.PRIMARY OBJECTIVE:

I. To evaluate the potential toxicity of immunotherapy and preoperative radiation combined with intra-operative radiation in patients with recurrent or persistent head and neck squamous cell carcinoma (HNSCC).

SECONDARY OBJECTIVES:

I. To evaluate the clinical efficacy, measured as a locoregional control rate (LCR) and progression-free survival (PFS), of immunotherapy and preoperative radiation combined with intra-operative radiation in patients with recurrent or persistent HNSCC.

II. To evaluate the pre-operative radiation dose effect (0 Gy, 2 Gy X 2, 8 Gy X 2) on anti-tumor immune response in the setting of immunotherapy in patients with recurrent or persistent HNSCC.

III. To evaluate the radiation dose effect (0 Gy, 2 Gy X 2, 8 Gy X 2) on the expression of the deoxyribonucleic acid (DNA) exonuclease Trex1.

IV. To compare the overall survival (OS) of pembrolizumab and pre and post-operative external beam radiation therapy (EBRT) plus intraoperative radiation therapy (IORT) in subjects with recurrent or persistent HNSCC.

V. To assess the overall safety and tolerability of pre-operative pembrolizumab and pre-operative EBRT and IORT plus post-operative pembrolizumab versus pre-operative pembrolizumab plus IORT and post-operative pembrolizumab in subjects with with recurrent or persistent HNSCC.

VI. To evaluate whether PD-L1 expression is a predictive biomarker for LCR and PFS.

VII. To evaluate whether TNF-alpha expression is a predictive biomarker for LCR and PFS.

VIII. To evaluate whether NFkappaB expression is a predictive biomarker for LCR and PFS.

IX. To evaluate whether tumor mutational burden is predictive of immunotherapy response.

X. To evaluate the Health Related Quality of Life (HRQoL) as assessed by European Organization for Research and Treatment of Cancer (EORTC) Quality of Life Questionnaire - Core 30 (QLQ-C30) and QLQ-HN35.

EXPLORATORY OBJECTIVES:

I. To evaluate associations between gene expression status of tumor samples and clinical efficacy (LRC, PFS and overall survival \[OS\]).

II. To evaluate whether mutational burden is a predictive biomarker for LCR and PFS.

III. To explore potential biomarkers associated with clinical efficacy (LRC, PFS, and OS) by analyzing circulating tumor DNA quantitative load with polymerase chain reaction (PCR), chemokines/cytokines and immune cells (e.g. CD8+ T cells, regulatory T cells \[Tregs\], myeloid derived suppressor cells \[MDSCs\]) with FACS in blood, tumor tissue and correlating those with clinical outcomes.

OUTLINE: Patients are randomized to 1 of 3 arms.

ARM A: Patients receive pembrolizumab intravenously (IV) on day 1 of week 1, and undergo salvage surgery during week 4. Beginning week 8, patients receive pembrolizumab IV every 3 weeks for up to 18 doses in the absence of disease progression or unacceptable toxicity. Patients also undergo intraoperative radiation therapy (IORT) for 1 fraction during week 9. Treatment with pembrolizumab may continue beyond initial progression per investigator-assessed clinical benefit and if the patient is tolerating pembrolizumab.

ARM B: Patients receive pembrolizumab IV on day 1 of week 1, and undergo low dose EBRT for 2 fractions on 2 consecutive days during week 4. Patients also undergo salvage surgery during week 8. Beginning week 11, patients receive pembrolizumab IV every 3 weeks for up to 18 doses in the absence of disease progression or unacceptable toxicity. Patients also undergo IORT for 1 fraction during week 11. Treatment with pembrolizumab may continue beyond initial progression per investigator-assessed clinical benefit and if the patient is tolerating pembrolizumab.

ARM C: Patients receive pembrolizumab IV on day 1 of week 1, and undergo high dose EBRT for 2 fractions on 2 consecutive days during week 4. Patients also undergo salvage surgery during week 8. Beginning week 11, patients receive pembrolizumab IV every 3 weeks for up to 18 doses in the absence of disease progression or unacceptable toxicity. Patients also undergo IORT for 1 fraction during week 11. Treatment with pembrolizumab may continue beyond initial progression per investigator-assessed clinical benefit and if the patient is tolerating pembrolizumab.

After completion of study treatment, patients are followed up at 90 and 180 days, then every 90 weeks for 24 months, and then every 6 months up to year 5.";TRUE;FALSE;FALSE;;TRUE;60;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;FALSE;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;Tox;FALSE;;TRUE;FALSE;TRUE;FALSE;FALSE
"A Prospective Phase II Study of Inguinal Node Sparing Radiotherapy For Patients With Early Stage Anal Cancer (INSPIRE)The purpose of this study is to see whether avoiding preventative radiation to the groin in patients with normal sentinel node biopsy and PET-CT, is at least as effective treating cancer as giving preventative radiation to the groin for patients with anal canal cancer.

The investigators also want to know if avoiding radiation to the groin will cause fewer side effects and better quality of lifeRadiotherapy (RT) with concurrent 5-fluorouracil and mitomycin-C (5FU/MMC) combination is the treatment of choice for non-metastatic locally advanced anal squamous cell carcinoma (ASCC). While, locally advanced AC treatment involves elective inguinal lymph node irradiation along with concurrent chemotherapy with significant improvement of locoregional control and colostomy free survival, many oncologists believe that routine, elective irradiation of bilateral inguinal areas of patients with limited disease (T1-T3) without lymph node involvement may be overtreatment and the larger radiation target that includes entire pelvis and bilateral inguinal region causes significant acute and late toxicities.

SLNB is the standard procedure currently used for breast cancer staging. The most significant observation was that when the SLN is negative, no further ALND or adjuvant axillary radiation is need for those patients. The SLNB had shown a better diagnostic accuracy (31% vs.25%) and higher sensitivity (85% vs.75%) than FDG-PET imaging to detect inguinal lymph node metastasis. Given better diagnostic accuracy and high sensitivity of SLNB, this technique could be used precisely to define target population who could be spared of prophylactic inguinal irradiation.

The investigators hypothesize that patients with early clinical stage node negative anal cancer (T1-T3N0) have low risk of subclinical inguinal lymph node involvement that can be detected by a combination of PET imaging and SLNB. Hence, any early stage AC patients with node negative disease confirmed by PET imaging and SLNB have relatively low risk of nodal failure and so inguinal radiation could be avoided. This approach would limit over treatment of early stage patients, reduce acute and late toxicities. This will be tested in a phase II study with close follow up of study patients so that inguinal relapse if any occur will be salvaged successfully. If this treatment approach is successful, it could be practice changing with improvement of H-QOL of patient.";FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Other;FALSE;;FALSE;TRUE;FALSE;FALSE;FALSE
"A Phase I Study of Oral Carboxyamidotriazole Orotate (CTO) Titrated as a Single Agent in Patients With Advanced or Metastatic Solid Tumors and Titrated in Combination Therapy With TemodarÂ® for Patients With Glioblastoma and Other Recurrent Malignant Gliomas or in Combination With TemodarÂ® and Radiation Therapy for Patients With Newly Diagnosed Glioblastoma and Malignant GliomasThe purpose of this study is to determine the safety, tolerability, and the maximum tolerated dose/recommended phase II dose of carboxyamidotriazole orotate (CTO) as a single agent in patients with advanced or metastatic solid tumors; in combination with oral TemodarÂ® in patients with glioblastoma or other recurrent malignant gliomas; or in combination with oral TemodarÂ® and radiation therapy in patients with newly diagnosed glioblastoma or other malignant gliomas.";FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;Tox;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"Phase 1 and Pharmacology Study of Oral 5-Iodo-2-Pyrimidinone-2-Deoxyribose (IPdR) as a Prodrug for IUdR-Mediated Tumor Radiosensitization in Brain MetastasesThis phase I trial studies the side effects and best dose of ropidoxuridine when given together with whole brain radiation therapy in treating patients with cancer that has spread to the brain (brain metastases). Ropidoxuridine may help whole brain radiation therapy work better by making cancer cells more sensitive to the radiation therapy.PRIMARY OBJECTIVE:

I. To conduct a phase 1 dose escalation trial in patients with brain metastases to determine the recommended phase -2 dose of ropidoxuridine (5-iodo-2-pyrimidinone-2'-deoxyribose \[IPdR\]) when administered alone orally once daily for 7 consecutive days and then concurrently with conventionally fractionated whole brain radiation therapy (WBRT) for additional 21 days.

SECONDARY OBJECTIVES:

I. To observe and record anti-tumor activity to IPdR-mediated radiosensitization.

II. To estimate 6 month intracranial progression-free survival (PFS) in brain metastasis cancer patients who receive daily oral IPdR x 28 days and WBRT.

III. To establish the pharmacokinetics of daily oral dosing of IPdR times 8 days.

IV. To evaluate safety and tolerability of oral IPdR x 28 days and WBRT.

V. To estimate the incidence of delayed neurological toxicity at 2, 4, and 6 months (+/-1 week) post-completion of WBRT (for patients without intracranial progression) including:

Va. Delayed-recall through Hopkins Verbal Learning Test Revised (HVLT-R). Vb. Quality of life as measured by the Functional Assessment of Cancer Therapy-Brain (FACT-BR).

CORRELATIVE OBJECTIVES:

I. To assess for biochemical evidence of IPdR effect in normal tissues (circulating granulocytes) by measuring %IUdR-deoxyribonucleic acid (DNA) cellular incorporation by flow cytometry and high-pressure liquid chromatography (HPLC) analyses as an exploratory biomarker for the following:

Ia. %IUdR-DNA tumor cell incorporation from day 8 extracranial tumor biopsies in brain metastasis cancer patients receiving RP2D doses of IPdR as an exploratory biomarker of tumor radiosensitization using Response Evaluation Criteria in Solid Tumors (RECIST) criteria.

Ib. %IUdR-DNA cellular incorporation in patients' circulating granulocytes taken weekly during the 28-day IPdR RP2D dose, on day 29, and week 8 as an exploratory biomarker of IPdR systemic toxicities to bone marrow as measured by serial complete blood count (CBC)/differential values.

OUTLINE: This is a dose escalation study of ropidoxuridine.

Patients receive ropidoxuridine orally (PO) once daily (QD) on days 1-28 and undergo WBRT daily for not more than 5 days per week beginning on day 8 for a total of 15 fractions in the absence of disease progression or unacceptable toxicity.

After completion of study treatment, patients are followed up every 2 months for 6 months, every 3-4 months for 6 months, and every 6 months for 1 year.";FALSE;FALSE;FALSE;;TRUE;24;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;Tox;FALSE;;TRUE;FALSE;TRUE;FALSE;FALSE
"NASSIST (Neoadjuvant Chemoradiation +/- Immunotherapy Before Surgery for Superior Sulcus Tumors): A Randomized Phase II Trial of Trimodality +/- Atezolizumab in Resectable Superior Sulcus Non-Small Cell Lung CancerThis phase II trial tests the effect of atezolizumab given with usual chemotherapy during radiation therapy in treating patients with superior sulcus non-small cell lung cancer. Immunotherapy with monoclonal antibodies, such as atezolizumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Chemotherapy drugs, such as cisplatin, carboplatin, etoposide, paclitaxel and pemetrexed, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Radiation therapy uses high energy beams to kill tumor cells and shrink tumors. Giving atezolizumab with usual chemotherapy and radiation therapy may lower the chance of the tumor from growing or spreading.PRIMARY OBJECTIVE:

I. To compare the pathologic complete response (pCR) by local review between participants randomized to conventional trimodality therapy, with or without atezolizumab.

SECONDARY OBJECTIVES:

I. To compare event-free survival (EFS) between the arms. II. To compare overall survival (OS) between the arms. III. To compare surgical resection rate and complete resection (R0) rate between the arms.

IV. To evaluate progression-free survival (PFS) per Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 among participants who do not undergo surgical resection, by treatment arm.

V. To compare the frequency and severity of toxicities between the arms.

ADDITIONAL OBJECTIVES:

I. To bank blood and tissue for future research. II. To evaluate the association between major pathologic response (MPR), as defined by the International Association for the Study of Lung Cancer (IASLC), and survival outcomes (OS, PFS).

III. To evaluate the association between pCR by centralized review and survival outcomes (OS, PFS).

IV. Evaluate the changes in fludeoxyglucose F-18 (FDG)-positron emission tomography (PET) metrics (e.g., standardized uptake value \[SUV\] maximum \[max\], SUVpeak, SUVmax tumor-to-liver, SUVpeak tumor-to-liver, metabolic tumor volume, total lesion glycolysis, etc.) in participants randomized to receive trimodality therapy alone or in combination with atezolizumab and to evaluate the association with pCR.

V. Evaluate the extent to which the changes in diffusion weighted imaging (DWI)-magnetic resonance imagining (MRI) metrics (e.g., mean apparent diffusion coefficient or apparent diffusion coefficient \[ADC\] for the primary tumor, etc.) are associated with pCR in participants randomized to receive trimodality therapy alone or in combination with atezolizumab.

VI. Evaluate the extent to which changes in computed tomography (CT) tumor volume, unidimensional lesion changes per RECIST 1.1 and bidimensional lesion changes per World Health Organization (WHO) criteria are associated with pCR in participants randomized to receive trimodality therapy alone or in combination with atezolizumab.

OUTLINE: Patients are randomized to 1 of 2 arms.

ARM I: Patients receive atezolizumab intravenously (IV) over 30-60 minutes on day 1. Patients also receive one of the chemotherapy combinations below depending on their previous therapy and disease. Between the first day of chemotherapy and the first day of cycle 2 of chemotherapy, patients undergo external beam radiation therapy 5 days per week. Treatment repeats every 21 days for up to 4 cycles in the absence of disease progression or unacceptable toxicity. Beginning 21 and 90 days after treatment, patients undergo surgery. Within 42 days after completion of surgery, patients then receive atezolizumab IV over 30-60 minutes on day 1. Treatment repeats every 21 days for up to 17 cycles in the absence of disease progression or unacceptable toxicity.

ARM II: Patients receive one of the chemotherapy combinations below depending on their previous therapy and disease. Between the first day of chemotherapy and the first day of cycle 2 of chemotherapy, patients also undergo external beam radiation therapy 5 days per week. Treatment repeats every 21 days for up to 4 cycles in the absence of disease progression or unacceptable toxicity. Beginning 21 and 90 days after treatment, patients undergo surgery.

Patients receive one of the chemotherapy combinations:

1. Cisplatin IV over 2 hours on day 1 and etoposide IV over 30-60 minutes on days 1-3.
2. Carboplatin IV over 60 minutes on day 1 and etoposide IV over 30-60 minutes on days 1-3.
3. Paclitaxel IV over 3 hours and carboplatin IV over 60 minutes on day 1.

Patients with non-squamous NSCLC may receive one of the following combinations:
4. Pemetrexed IV over 10 minutes and carboplatin IV over 60 minutes on day 1.
5. Pemetrexed IV over 10 minutes and cisplatin IV over 2 hours on day 1.

Patients may undergo a PET scan, CT scan, and MRI on study. Patients also undergo tumor biopsies and blood sample collection throughout the trial.";TRUE;FALSE;FALSE;;FALSE;;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Other;FALSE;;TRUE;TRUE;FALSE;FALSE;FALSE
